Word: the, Cluster: -1
Word: ideas, Cluster: -1
Word: book, Cluster: -1
Word: six, Cluster: -1
Word: cancer, Cluster: -1
Word: read, Cluster: -1
Word: group, Cluster: -1
Word: learned, Cluster: -1
Word: stories, Cluster: -1
Word: cells, Cluster: -1
Word: top, Cluster: -1
Word: research, Cluster: -1
Word: age, Cluster: -1
Word: guy, Cluster: -1
Word: under, Cluster: -1
Word: oh, Cluster: -1
Word: order, Cluster: -1
Word: knew, Cluster: -1
Word: everyone, Cluster: -1
Word: control, Cluster: -1
Word: beautiful, Cluster: -1
Word: friends, Cluster: -1
Word: couple, Cluster: -1
Word: against, Cluster: -1
Word: though, Cluster: -1
Word: somebody, Cluster: -1
Word: became, Cluster: -1
Word: decided, Cluster: -1
Word: black, Cluster: -1
Word: turn, Cluster: -1
Word: built, Cluster: -1
Word: exactly, Cluster: -1
Word: stop, Cluster: -1
Word: nature, Cluster: -1
Word: form, Cluster: -1
Word: must, Cluster: -1
Word: share, Cluster: -1
Word: taking, Cluster: -1
Word: okay, Cluster: -1
Word: hear, Cluster: -1
Word: study, Cluster: -1
Word: places, Cluster: -1
Word: completely, Cluster: -1
Word: run, Cluster: -1
Word: night, Cluster: -1
Word: name, Cluster: -1
Word: company, Cluster: -1
Word: word, Cluster: -1
Word: internet, Cluster: -1
Word: mother, Cluster: -1
Word: questions, Cluster: -1
Word: piece, Cluster: -1
Word: society, Cluster: -1
Word: america, Cluster: -1
Word: yeah, Cluster: -1
Word: species, Cluster: -1
Word: language, Cluster: -1
Word: line, Cluster: -1
Word: ourselves, Cluster: -1
Word: education, Cluster: -1
Word: middle, Cluster: -1
Word: works, Cluster: -1
Word: gets, Cluster: -1
Word: turns, Cluster: -1
Word: head, Cluster: -1
Word: rather, Cluster: -1
Word: others, Cluster: -1
Word: model, Cluster: -1
Word: state, Cluster: -1
Word: hours, Cluster: -1
Word: kinds, Cluster: -1
Word: themselves, Cluster: -1
Word: huge, Cluster: -1
Word: house, Cluster: -1
Word: students, Cluster: -1
Word: sound, Cluster: -1
Word: happening, Cluster: -1
Word: art, Cluster: -1
Word: past, Cluster: -1
Word: heart, Cluster: -1
Word: worked, Cluster: -1
Word: ones, Cluster: -1
Word: large, Cluster: -1
Word: thousands, Cluster: -1
Word: created, Cluster: -1
Word: front, Cluster: -1
Word: itself, Cluster: -1
Word: disease, Cluster: -1
Word: news, Cluster: -1
Word: god, Cluster: -1
Word: during, Cluster: -1
Word: least, Cluster: -1
Word: early, Cluster: -1
Word: level, Cluster: -1
Word: learning, Cluster: -1
Word: along, Cluster: -1
Word: animals, Cluster: -1
Word: minutes, Cluster: -1
Word: entire, Cluster: -1
Word: perhaps, Cluster: -1
Word: game, Cluster: -1
Word: gave, Cluster: -1
Word: environment, Cluster: -1
Word: guys, Cluster: -1
Word: outside, Cluster: -1
Word: figure, Cluster: -1
Word: ted, Cluster: -1
Word: finally, Cluster: -1
Word: machine, Cluster: -1
Word: universe, Cluster: -1
Word: american, Cluster: -1
Word: systems, Cluster: -1
Word: natural, Cluster: -1
Word: team, Cluster: -1
Word: ok, Cluster: -1
Word: changed, Cluster: -1
Word: particular, Cluster: -1
Word: lots, Cluster: -1
Word: leave, Cluster: -1
Word: per, Cluster: -1
Word: taken, Cluster: -1
Word: takes, Cluster: -1
Word: given, Cluster: -1
Word: behind, Cluster: -1
Word: air, Cluster: -1
Word: felt, Cluster: -1
Word: seeing, Cluster: -1
Word: cities, Cluster: -1
Word: companies, Cluster: -1
Word: third, Cluster: -1
Word: happy, Cluster: -1
Word: yourself, Cluster: -1
Word: reality, Cluster: -1
Word: easy, Cluster: -1
Word: political, Cluster: -1
Word: needs, Cluster: -1
Word: image, Cluster: -1
Word: parents, Cluster: -1
Word: difficult, Cluster: -1
Word: cell, Cluster: -1
Word: needed, Cluster: -1
Word: india, Cluster: -1
Word: close, Cluster: -1
Word: began, Cluster: -1
Word: media, Cluster: -1
Word: turned, Cluster: -1
Word: difference, Cluster: -1
Word: walk, Cluster: -1
Word: powerful, Cluster: -1
Word: york, Cluster: -1
Word: eyes, Cluster: -1
Word: culture, Cluster: -1
Word: realized, Cluster: -1
Word: simply, Cluster: -1
Word: free, Cluster: -1
Word: humans, Cluster: -1
Word: area, Cluster: -1
Word: local, Cluster: -1
Word: white, Cluster: -1
Word: population, Cluster: -1
Word: century, Cluster: -1
Word: terms, Cluster: -1
Word: china, Cluster: -1
Word: spend, Cluster: -1
Word: moving, Cluster: -1
Word: whatever, Cluster: -1
Word: father, Cluster: -1
Word: audience, Cluster: -1
Word: seven, Cluster: -1
Word: longer, Cluster: -1
Word: common, Cluster: -1
Word: lost, Cluster: -1
Word: view, Cluster: -1
Word: beginning, Cluster: -1
Word: economic, Cluster: -1
Word: phone, Cluster: -1
Word: death, Cluster: -1
Word: certain, Cluster: -1
Word: grow, Cluster: -1
Word: hands, Cluster: -1
Word: full, Cluster: -1
Word: parts, Cluster: -1
Word: spent, Cluster: -1
Word: climate, Cluster: -1
Word: week, Cluster: -1
Word: tried, Cluster: -1
Word: national, Cluster: -1
Word: poor, Cluster: -1
Word: ability, Cluster: -1
Word: center, Cluster: -1
Word: size, Cluster: -1
Word: wonderful, Cluster: -1
Word: feeling, Cluster: -1
Word: patients, Cluster: -1
Word: weeks, Cluster: -1
Word: interested, Cluster: -1
Word: based, Cluster: -1
Word: friend, Cluster: -1
Word: known, Cluster: -1
Word: amount, Cluster: -1
Word: write, Cluster: -1
Word: ocean, Cluster: -1
Word: changes, Cluster: -1
Word: either, Cluster: -1
Word: deal, Cluster: -1
Word: gone, Cluster: -1
Word: quickly, Cluster: -1
Word: buy, Cluster: -1
Word: challenge, Cluster: -1
Word: pay, Cluster: -1
Word: opportunity, Cluster: -1
Word: sitting, Cluster: -1
Word: land, Cluster: -1
Word: born, Cluster: -1
Word: fear, Cluster: -1
Word: market, Cluster: -1
Word: scientists, Cluster: -1
Word: met, Cluster: -1
Word: girl, Cluster: -1
Word: red, Cluster: -1
Word: speak, Cluster: -1
Word: test, Cluster: -1
Word: shows, Cluster: -1
Word: step, Cluster: -1
Word: scale, Cluster: -1
Word: field, Cluster: -1
Word: dna, Cluster: -1
Word: rest, Cluster: -1
Word: hundreds, Cluster: -1
Word: attention, Cluster: -1
Word: access, Cluster: -1
Word: medical, Cluster: -1
Word: cost, Cluster: -1
Word: blue, Cluster: -1
Word: growing, Cluster: -1
Word: eight, Cluster: -1
Word: oil, Cluster: -1
Word: morning, Cluster: -1
Word: paper, Cluster: -1
Word: anyone, Cluster: -1
Word: south, Cluster: -1
Word: blood, Cluster: -1
Word: complex, Cluster: -1
Word: value, Cluster: -1
Word: street, Cluster: -1
Word: program, Cluster: -1
Word: understanding, Cluster: -1
Word: growth, Cluster: -1
Word: brought, Cluster: -1
Word: literally, Cluster: -1
Word: incredible, Cluster: -1
Word: fish, Cluster: -1
Word: numbers, Cluster: -1
Word: wrote, Cluster: -1
Word: girls, Cluster: -1
Word: physical, Cluster: -1
Word: green, Cluster: -1
Word: millions, Cluster: -1
Word: alone, Cluster: -1
Word: average, Cluster: -1
Word: support, Cluster: -1
Word: images, Cluster: -1
Word: absolutely, Cluster: -1
Word: seems, Cluster: -1
Word: personal, Cluster: -1
Word: telling, Cluster: -1
Word: realize, Cluster: -1
Word: surface, Cluster: -1
Word: die, Cluster: -1
Word: economy, Cluster: -1
Word: starting, Cluster: -1
Word: areas, Cluster: -1
Word: watch, Cluster: -1
Word: knowledge, Cluster: -1
Word: movement, Cluster: -1
Word: giving, Cluster: -1
Word: kid, Cluster: -1
Word: especially, Cluster: -1
Word: tools, Cluster: -1
Word: behavior, Cluster: -1
Word: wo, Cluster: -1
Word: individual, Cluster: -1
Word: likely, Cluster: -1
Word: structure, Cluster: -1
Word: risk, Cluster: -1
Word: running, Cluster: -1
Word: online, Cluster: -1
Word: hold, Cluster: -1
Word: deep, Cluster: -1
Word: voice, Cluster: -1
Word: ground, Cluster: -1
Word: law, Cluster: -1
Word: nice, Cluster: -1
Word: key, Cluster: -1
Word: act, Cluster: -1
Word: feet, Cluster: -1
Word: books, Cluster: -1
Word: asking, Cluster: -1
Word: developed, Cluster: -1
Word: lab, Cluster: -1
Word: animal, Cluster: -1
Word: truth, Cluster: -1
Word: baby, Cluster: -1
Word: result, Cluster: -1
Word: eat, Cluster: -1
Word: cars, Cluster: -1
Word: recently, Cluster: -1
Word: solve, Cluster: -1
Word: discovered, Cluster: -1
Word: playing, Cluster: -1
Word: stage, Cluster: -1
Word: issue, Cluster: -1
Word: material, Cluster: -1
Word: map, Cluster: -1
Word: sounds, Cluster: -1
Word: digital, Cluster: -1
Word: creating, Cluster: -1
Word: force, Cluster: -1
Word: nobody, Cluster: -1
Word: focus, Cluster: -1
Word: clear, Cluster: -1
Word: normal, Cluster: -1
Word: north, Cluster: -1
Word: chance, Cluster: -1
Word: industry, Cluster: -1
Word: designed, Cluster: -1
Word: short, Cluster: -1
Word: talked, Cluster: -1
Word: development, Cluster: -1
Word: miles, Cluster: -1
Word: gives, Cluster: -1
Word: meet, Cluster: -1
Word: seem, Cluster: -1
Word: tiny, Cluster: -1
Word: technologies, Cluster: -1
Word: beyond, Cluster: -1
Word: soon, Cluster: -1
Word: save, Cluster: -1
Word: changing, Cluster: -1
Word: issues, Cluster: -1
Word: university, Cluster: -1
Word: showed, Cluster: -1
Word: allow, Cluster: -1
Word: choice, Cluster: -1
Word: bottom, Cluster: -1
Word: forward, Cluster: -1
Word: type, Cluster: -1
Word: network, Cluster: -1
Word: sea, Cluster: -1
Word: major, Cluster: -1
Word: impact, Cluster: -1
Word: relationship, Cluster: -1
Word: cut, Cluster: -1
Word: sun, Cluster: -1
Word: europe, Cluster: -1
Word: stand, Cluster: -1
Word: several, Cluster: -1
Word: color, Cluster: -1
Word: communities, Cluster: -1
Word: reasons, Cluster: -1
Word: developing, Cluster: -1
Word: theory, Cluster: -1
Word: robot, Cluster: -1
Word: groups, Cluster: -1
Word: computers, Cluster: -1
Word: patient, Cluster: -1
Word: rate, Cluster: -1
Word: generation, Cluster: -1
Word: solution, Cluster: -1
Word: trust, Cluster: -1
Word: produce, Cluster: -1
Word: stay, Cluster: -1
Word: dark, Cluster: -1
Word: towards, Cluster: -1
Word: rights, Cluster: -1
Word: teach, Cluster: -1
Word: english, Cluster: -1
Word: begin, Cluster: -1
Word: incredibly, Cluster: -1
Word: becomes, Cluster: -1
Word: resources, Cluster: -1
Word: special, Cluster: -1
Word: basic, Cluster: -1
Word: fun, Cluster: -1
Word: dead, Cluster: -1
Word: violence, Cluster: -1
Word: guess, Cluster: -1
Word: putting, Cluster: -1
Word: film, Cluster: -1
Word: situation, Cluster: -1
Word: send, Cluster: -1
Word: lived, Cluster: -1
Word: fast, Cluster: -1
Word: reach, Cluster: -1
Word: knows, Cluster: -1
Word: perfect, Cluster: -1
Word: evidence, Cluster: -1
Word: fly, Cluster: -1
Word: similar, Cluster: -1
Word: jobs, Cluster: -1
Word: bigger, Cluster: -1
Word: experiment, Cluster: -1
Word: please, Cluster: -1
Word: sex, Cluster: -1
Word: pictures, Cluster: -1
Word: anybody, Cluster: -1
Word: ice, Cluster: -1
Word: eventually, Cluster: -1
Word: writing, Cluster: -1
Word: available, Cluster: -1
Word: modern, Cluster: -1
Word: explain, Cluster: -1
Word: innovation, Cluster: -1
Word: cool, Cluster: -1
Word: product, Cluster: -1
Word: international, Cluster: -1
Word: college, Cluster: -1
Word: walking, Cluster: -1
Word: approach, Cluster: -1
Word: obviously, Cluster: -1
Word: wall, Cluster: -1
Word: message, Cluster: -1
Word: journey, Cluster: -1
Word: died, Cluster: -1
Word: boy, Cluster: -1
Word: drive, Cluster: -1
Word: rules, Cluster: -1
Word: dream, Cluster: -1
Word: office, Cluster: -1
Word: security, Cluster: -1
Word: carbon, Cluster: -1
Word: drugs, Cluster: -1
Word: choose, Cluster: -1
Word: involved, Cluster: -1
Word: listen, Cluster: -1
Word: drug, Cluster: -1
Word: box, Cluster: -1
Word: solar, Cluster: -1
Word: certainly, Cluster: -1
Word: ready, Cluster: -1
Word: worth, Cluster: -1
Word: present, Cluster: -1
Word: among, Cluster: -1
Word: effect, Cluster: -1
Word: hit, Cluster: -1
Word: break, Cluster: -1
Word: class, Cluster: -1
Word: shape, Cluster: -1
Word: google, Cluster: -1
Word: families, Cluster: -1
Word: conversation, Cluster: -1
Word: pick, Cluster: -1
Word: particularly, Cluster: -1
Word: revolution, Cluster: -1
Word: wait, Cluster: -1
Word: cause, Cluster: -1
Word: schools, Cluster: -1
Word: general, Cluster: -1
Word: showing, Cluster: -1
Word: led, Cluster: -1
Word: totally, Cluster: -1
Word: starts, Cluster: -1
Word: chinese, Cluster: -1
Word: notice, Cluster: -1
Word: lead, Cluster: -1
Word: potential, Cluster: -1
Word: biggest, Cluster: -1
Word: hundred, Cluster: -1
Word: strong, Cluster: -1
Word: success, Cluster: -1
Word: indeed, Cluster: -1
Word: action, Cluster: -1
Word: crazy, Cluster: -1
Word: measure, Cluster: -1
Word: higher, Cluster: -1
Word: hospital, Cluster: -1
Word: moved, Cluster: -1
Word: movie, Cluster: -1
Word: role, Cluster: -1
Word: scientific, Cluster: -1
Word: code, Cluster: -1
Word: favorite, Cluster: -1
Word: camera, Cluster: -1
Word: develop, Cluster: -1
Word: police, Cluster: -1
Word: leaders, Cluster: -1
Word: poverty, Cluster: -1
Word: including, Cluster: -1
Word: nine, Cluster: -1
Word: grew, Cluster: -1
Word: road, Cluster: -1
Word: individuals, Cluster: -1
Word: eye, Cluster: -1
Word: web, Cluster: -1
Word: creative, Cluster: -1
Word: wants, Cluster: -1
Word: examples, Cluster: -1
Word: sit, Cluster: -1
Word: west, Cluster: -1
Word: watching, Cluster: -1
Word: month, Cluster: -1
Word: device, Cluster: -1
Word: software, Cluster: -1
Word: supposed, Cluster: -1
Word: suddenly, Cluster: -1
Word: fight, Cluster: -1
Word: evolution, Cluster: -1
Word: plan, Cluster: -1
Word: organization, Cluster: -1
Word: medicine, Cluster: -1
Word: safe, Cluster: -1
Word: onto, Cluster: -1
Word: doctor, Cluster: -1
Word: vision, Cluster: -1
Word: mom, Cluster: -1
Word: add, Cluster: -1
Word: continue, Cluster: -1
Word: quality, Cluster: -1
Word: robots, Cluster: -1
Word: student, Cluster: -1
Word: usually, Cluster: -1
Word: further, Cluster: -1
Word: son, Cluster: -1
Word: named, Cluster: -1
Word: low, Cluster: -1
Word: standing, Cluster: -1
Word: extremely, Cluster: -1
Word: above, Cluster: -1
Word: allowed, Cluster: -1
Word: shown, Cluster: -1
Word: response, Cluster: -1
Word: meant, Cluster: -1
Word: largest, Cluster: -1
Word: games, Cluster: -1
Word: worse, Cluster: -1
Word: plants, Cluster: -1
Word: period, Cluster: -1
Word: everywhere, Cluster: -1
Word: fall, Cluster: -1
Word: memory, Cluster: -1
Word: goal, Cluster: -1
Word: nuclear, Cluster: -1
Word: meaning, Cluster: -1
Word: object, Cluster: -1
Word: exciting, Cluster: -1
Word: intelligence, Cluster: -1
Word: finding, Cluster: -1
Word: table, Cluster: -1
Word: essentially, Cluster: -1
Word: plant, Cluster: -1
Word: machines, Cluster: -1
Word: teachers, Cluster: -1
Word: results, Cluster: -1
Word: protect, Cluster: -1
Word: democracy, Cluster: -1
Word: taught, Cluster: -1
Word: lose, Cluster: -1
Word: buildings, Cluster: -1
Word: extraordinary, Cluster: -1
Word: mars, Cluster: -1
Word: connected, Cluster: -1
Word: door, Cluster: -1
Word: wife, Cluster: -1
Word: hour, Cluster: -1
Word: truly, Cluster: -1
Word: somewhere, Cluster: -1
Word: objects, Cluster: -1
Word: loved, Cluster: -1
Word: faster, Cluster: -1
Word: smart, Cluster: -1
Word: tells, Cluster: -1
Word: follow, Cluster: -1
Word: models, Cluster: -1
Word: somehow, Cluster: -1
Word: east, Cluster: -1
Word: older, Cluster: -1
Word: sent, Cluster: -1
Word: mine, Cluster: -1
Word: sleep, Cluster: -1
Word: president, Cluster: -1
Word: projects, Cluster: -1
Word: allows, Cluster: -1
Word: mass, Cluster: -1
Word: bodies, Cluster: -1
Word: trees, Cluster: -1
Word: materials, Cluster: -1
Word: positive, Cluster: -1
Word: crisis, Cluster: -1
Word: training, Cluster: -1
Word: doctors, Cluster: -1
Word: excited, Cluster: -1
Word: skin, Cluster: -1
Word: cases, Cluster: -1
Word: increase, Cluster: -1
Word: recognize, Cluster: -1
Word: perspective, Cluster: -1
Word: freedom, Cluster: -1
Word: late, Cluster: -1
Word: treatment, Cluster: -1
Word: expect, Cluster: -1
Word: happiness, Cluster: -1
Word: service, Cluster: -1
Word: killed, Cluster: -1
Word: serious, Cluster: -1
Word: fundamental, Cluster: -1
Word: successful, Cluster: -1
Word: speed, Cluster: -1
Word: tree, Cluster: -1
Word: spread, Cluster: -1
Word: reading, Cluster: -1
Word: tool, Cluster: -1
Word: kept, Cluster: -1
Word: bunch, Cluster: -1
Word: brains, Cluster: -1
Word: however, Cluster: -1
Word: impossible, Cluster: -1
Word: decisions, Cluster: -1
Word: fire, Cluster: -1
Word: conditions, Cluster: -1
Word: progress, Cluster: -1
Word: humanity, Cluster: -1
Word: pain, Cluster: -1
Word: complicated, Cluster: -1
Word: consider, Cluster: -1
Word: pattern, Cluster: -1
Word: lines, Cluster: -1
Word: wish, Cluster: -1
Word: main, Cluster: -1
Word: clearly, Cluster: -1
Word: rich, Cluster: -1
